constructorResultsId,raceId,constructorId,points,status
16676,1098,3,1,\N
16689,1099,3,0,\N
16699,1100,3,0,\N
16706,1101,3,0,\N
16718,1102,3,0,\N
16728,1104,3,0,\N
16739,1105,3,0,\N
16744,1106,3,6,\N
16756,1107,3,0,\N
16764,1108,3,4,\N
16775,1109,3,0,\N
16788,1110,3,0,\N
16796,1111,3,4,\N
16803,1112,3,6,\N
16817,1113,3,0,\N
16829,1114,3,0,\N
16837,1115,3,2,\N
16847,1116,3,3,\N
16855,1117,3,2,\N
16867,1118,3,0,\N
16876,1119,3,0,\N
16887,1120,3,0,\N
16898,1121,3,0,\N
16906,1122,3,0,\N
16916,1123,3,0,\N
16929,1124,3,0,\N
16937,1125,3,0,\N
16949,1126,3,0,\N
16959,1127,3,0,\N
16965,1128,3,2,\N
16979,1129,3,0,\N
16989,1130,3,0,\N
16998,1131,3,0,\N
17006,1132,3,2,\N
